Type,Format,Topic,Title,Subtitle,Edition,Author 1,Author 2,Author 3,Author 4,Author 5,Publisher,Year,Latest Version?,Free Download?
Book,PDF,Big Data,Learning Spark,Lightning-Fast Data Analysis,1st,Holden Karau,Andy Konwinski,Patrick Wendell,Matei Zaharia,n/a,O'Reilly,2015,Maybe,No
Book,PDF,Big Data,Scalable Machine Learning with Apache Spark,n/a,1st,Assorted,n/a,n/a,n/a,n/a,DataBricks,2024,Maybe,Yes
Book,PDF,Big Data,Spark: The Definitive Guide,Big Data Processing Made Simple,1st,Bill Chambers,Matei Zaharia,n/a,n/a,n/a,O'Reilly,2018,Maybe,No
Short eBook,PDF,Artificial Intelligence,How to Learn AI,A Beginner's Guide,1st,Aleksandra Yosifova,n/a,n/a,n/a,n/a,365DataScience,2023,Maybe,Yes
Short eBook,PDF,Data Science,The Ultimate Data Science Career Guide,Break into Data Science,2nd,Iliya Valchanov,n/a,n/a,n/a,n/a,365DataScience,2023,Maybe,Yes
QuickSheet,PDF,Digital Image Processing,Quick Summary Sheet - DIP Essentials,n/a,1st,Joshua Pina,n/a,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,Linear Algebra,Linear Algebra Study Guide,n/a,1st,Joshua Pina,n/a,n/a,n/a,n/a,n/a,2025,Yes,Yes
Study Guide,PDF,Math for Machine Learning,Applied Probability and Statistics Guide,ChatGPT Deep Dive,1st,Joshua Pina,ChatGPT,n/a,n/a,n/a,n/a,2025,Yes,Yes
Study Guide,PDF,Math for Machine Learning,"Study Guide: Applied Probability & Statistics, Machine Learning, and Big Data Programming",ChatGPT Deep Dive,1st,Joshua Pina,ChatGPT,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,Digital Image Processing,Quick Summary Sheet - DIP Midterm Topics,n/a,1st ,Joshua Pina,n/a,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,Data Science,4-Week Python for Data Science Study Plan,Refresher Scaffoled with ChatGPT,1st,Joshua Pina,ChatGPT,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,WebDev,Small HTML Sheets,n/a,1st,Joshua Pina,n/a,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,R,Probability and Statistics R Project,R Programming Basics,1st,Dr. Yang,n/a,n/a,n/a,n/a,n/a,2025,Yes,Yes
QuickSheet,PDF,Python,Python Cheat Sheet for Data Analysis,n/a,1st,n/a,n/a,n/a,n/a,n/a,IBM,2023,Yes,Yes
Study Guide,PDF,Data Structures and Algorithms,CodePath DSA CheatSheets,n/a,1st,CodePath,n/a,n/a,n/a,n/a,CodePath,2025,Yes,Yes
